District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Old Colony Regional Vocational Technical,08550000,  97.2,   3.2,   4.5,   2.3,   0.4
Old Rochester,07400000,  93.8,   6.6,  19.1,  16.7,   4.9
Old Sturbridge Academy Charter Public School (District),35150000,  94.6,   6.0,  16.7,  10.6,   3.7
Orange,02230000,  92.7,   7.8,  27.1,  22.5,   6.2
Orleans,02240000,  95.6,   4.7,  11.5,   7.5,   4.0
Oxford,02260000,  94.3,   6.2,  16.9,  12.7,   0.0
Palmer,02270000,  94.4,   5.9,  16.6,  13.3,   7.6
Pathfinder Regional Vocational Technical,08600000,  94.7,   5.7,  16.1,  11.5,   0.0
Paulo Freire Social Justice Charter School (District),35010000,  81.4,  19.3,  67.0,  64.9,   1.7
Peabody,02290000,  94.3,   5.9,  17.1,  15.5,  16.9
Pelham,02300000,  96.6,   3.7,   7.2,   4.0,   1.6
Pembroke,02310000,  95.1,   5.4,  14.9,   9.5,   0.0
Pentucket,07450000,  95.5,   4.9,  11.1,   8.9,   1.1
Petersham,02340000,  99.6,   0.5,   0.0,   0.0,   0.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,  49.0,  43.0,  90.5,  95.0,  49.7
Phoenix Academy Public Charter High School Springfield (District),35080000,  47.3,  47.3,  93.2,  95.0,  53.8
Phoenix Charter Academy (District),04930000,  55.5,  41.9,  89.1,  90.8,  32.6
Pioneer Charter School of Science (District),04940000,  96.7,   4.1,   9.0,   4.5,   0.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,  98.1,   2.3,   4.1,   0.8,   0.0
Pioneer Valley,07500000,  95.2,   5.1,  13.6,  10.3,   2.0
Pioneer Valley Chinese Immersion Charter (District),04970000,  95.3,   5.1,  13.7,   9.0,   0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,  92.4,   8.3,  31.3,  26.0,   0.0
Pittsfield,02360000,  91.9,   8.6,  29.8,  27.5,   0.0
Plainville,02380000,  95.5,   4.9,  14.5,  12.3,   1.9
Plymouth,02390000,  95.5,   4.8,  11.7,  10.0,   6.4
Plympton,02400000,  95.6,   4.8,  11.7,   5.4,   9.4
Prospect Hill Academy Charter (District),04870000,  95.6,   4.7,  14.6,  12.2,   0.0
Provincetown,02420000,  94.6,   5.6,  17.0,  14.2,   3.5
Quabbin,07530000,  94.9,   5.2,  13.7,  12.3,   4.7
Quaboag Regional,07780000,  94.0,   6.1,  17.7,  16.3,   6.4
Quincy,02430000,  95.6,   4.7,  13.3,  11.8,   8.6
Ralph C Mahar,07550000,  93.9,   6.5,  20.5,  17.8,   0.5
Randolph,02440000,  94.6,   5.7,  17.8,  15.6,  10.6
